0 Model Error:3102.45916429981[0,1000000] 345 Explicit 82 
1 	Model Error:4664.39654414678[0,12287] 107 Implicit 8 
2 		Model Error:1093.14851862713[0,1535] 121 Explicit 0 
2 		Model Error:923.030496494845[1536,3071] 121 Explicit 0 
2 		Model Error:622.301156337198[3072,4607] 121 Explicit 0 
2 		Model Error:688.343082700285[4608,6143] 121 Explicit 0 
2 		Model Error:824.978640609232[6144,7679] 121 Explicit 0 
2 		Model Error:850.669818636321[7680,9215] 121 Explicit 0 
2 		Model Error:2254.46497471706[9216,10751] 107 Implicit 0 
2 		Model Error:692.780141203366[10752,12287] 121 Explicit 0 
1 	Model Error:4932.45926374854[12288,24575] 107 Implicit 8 
2 		Model Error:2227.39320773563[12288,13823] 121 Explicit 0 
2 		Model Error:818.470809609098[13824,15359] 121 Explicit 0 
2 		Model Error:867.267634473865[15360,16895] 121 Explicit 0 
2 		Model Error:1964.91350692575[16896,18431] 121 Explicit 0 
2 		Model Error:921.194371473888[18432,19967] 121 Explicit 0 
2 		Model Error:803.702354873429[19968,21503] 121 Explicit 0 
2 		Model Error:612.955331268764[21504,23039] 121 Explicit 0 
2 		Model Error:712.789381499097[23040,24575] 121 Explicit 0 
1 	Model Error:5744.19858671382[24576,36863] 107 Implicit 8 
2 		Model Error:958.732990698281[24576,26111] 121 Explicit 0 
2 		Model Error:874.134711195798[26112,27647] 121 Explicit 0 
2 		Model Error:795.101273163717[27648,29183] 121 Explicit 0 
2 		Model Error:1981.04177146645[29184,30719] 121 Explicit 0 
2 		Model Error:1333.07716426759[30720,32255] 121 Explicit 0 
2 		Model Error:863.670975376554[32256,33791] 121 Explicit 0 
2 		Model Error:1911.59169613778[33792,35327] 107 Trend 0 
2 		Model Error:1105.64093072265[35328,36863] 121 Explicit 0 
1 	Model Error:4890.07021250374[36864,49151] 107 Implicit 8 
2 		Model Error:851.95483443404[36864,38399] 121 Explicit 0 
2 		Model Error:629.092777429207[38400,39935] 121 Explicit 0 
2 		Model Error:684.878455494425[39936,41471] 121 Explicit 0 
2 		Model Error:889.46774140012[41472,43007] 121 Explicit 0 
2 		Model Error:845.123869639974[43008,44543] 121 Explicit 0 
2 		Model Error:2100.8395456084[44544,46079] 107 Trend 0 
2 		Model Error:670.155156695815[46080,47615] 121 Explicit 0 
2 		Model Error:2230.05342235764[47616,49151] 121 Explicit 0 
1 	Model Error:4425.50707445383[49152,61439] 107 Implicit 8 
2 		Model Error:921.024426796474[49152,50687] 121 Explicit 0 
