a	sum  
0	27747
1	28013
2	28089
3	27830
4	27357
5	26970
6	26919
7	26461
8	25970
9	25779
10	25983
11	27130
12	28639
13	31202
14	33341
15	35325
16	36318
17	37359
18	37939
19	38561
20	38919
21	39143
22	39286
23	39379
24	39241
25	39048
26	38702
27	38511
28	38222
29	38118
30	38090
31	38255
32	38811
33	39479
34	40071
35	40397
36	40398
37	40202
38	39863
39	39427
40	38733
41	38150
42	37049
43	35857
44	34015
45	32131
46	30404
47	28693
48	27743
49	28007
50	28079
51	27820
52	27343
53	26952
54	26903
55	26448
56	25952
57	25765
58	25972
59	27121
60	28628
61	31197
62	33341
63	35336
64	36333
65	37371
66	37948
67	38569
68	38927
69	39159
70	39301
71	39395
72	39254
73	39066
74	38720
75	38523
76	38234
77	38130
78	38096
79	38264
80	38815
81	39494
82	40114
83	40445
84	40442
85	40240
86	39887
87	39426
88	38727
89	38150
90	37062
91	35873
92	34040
93	32162
94	30434
95	28819
96	27867
97	28134
98	28210
99	27951
100	27478
101	27091
102	27039
103	26582
104	26090
105	25900
106	26104
107	27251
108	28760
109	31322
110	33461
111	35446
112	36439
113	37480
114	38060
115	38682
116	39040
117	39264
118	39407
119	39500
120	39362
121	39169
122	38823
123	38632
124	38343
125	38238
126	38210
127	38376
128	38932
129	39600
130	40192
131	40518
132	40519
133	40323
134	39983
135	39548
136	38854
137	38271
138	37170
139	35978
140	34136
141	32252
142	30524
143	28814
144	27864
145	28128
146	28200
147	27941
148	27463
149	27073
150	27024
151	26569
152	26073
153	25886
154	26092
155	27242
156	28749
157	31318
158	33461
159	35457
160	36454
161	37492
162	38069
163	38689
164	39048
165	39280
166	39422
167	39516
168	39374
169	39187
170	38841
171	38644
172	38355
173	38251
174	38217
175	38385
176	38936
177	39615
178	40234
179	40566
180	40563
181	40361
182	40008
183	39547
184	38847
185	38271
186	37182
187	35993
188	34161
189	32283
190	30555
191	28222
192	27271
193	27537
194	27613
195	27354
196	26881
197	26494
198	26443
199	25985
200	25494
201	25303
202	25507
203	26654
204	28163
205	30726
206	32865
207	34849
208	35842
209	36883
210	37463
211	38085
212	38443
213	38667
214	38810
215	38903
216	38765
217	38572
218	38226
219	38035
220	37746
221	37642
222	37614
223	37779
224	38335
225	39003
226	39595
227	39921
228	39922
229	39726
230	39387
231	38951
232	38257
233	37674
234	36573
235	35381
236	33539
237	31655
238	29928
239	28217
240	27267
241	27531
242	27603
243	27344
244	26867
245	26476
246	26427
247	25972
248	25476
249	25289
250	25496
251	26645
252	28152
253	30721
254	32865
255	34860
256	35857
257	36895
258	37472
259	38093
260	38451
261	38683
262	38825
263	38919
264	38778
265	38590
266	38244
267	38047
268	37758
269	37654
270	37620
271	37788
272	38339
273	39018
274	39638
275	39969
276	39966
277	39764
278	39411
279	38950
280	38251
281	37674
282	36586
283	35397
284	33564
285	31686
286	29958
287	27774
288	26822
289	27089
290	27165
291	26906
292	26433
293	26046
294	25994
295	25537
296	25045
297	24855
298	25059
299	26206
300	27715
301	30277
302	32416
303	34401
304	35394
305	36435
306	37015
307	37637
308	37995
309	38219
310	38362
311	38455
312	38317
313	38124
314	37778
315	37587
316	37298
317	37193
318	37165
319	37331
320	37887
321	38555
322	39147
323	39473
324	39474
325	39278
326	38938
327	38503
328	37809
329	37226
330	36125
331	34933
332	33090
333	31207
334	29479
335	27769
336	26818
337	27083
338	27155
339	26896
340	26418
341	26028
342	25979
343	25524
344	25028
345	24841
346	25047
347	26197
348	27704
349	30273
350	32416
351	34412
352	35409
353	36447
354	37024
355	37644
356	38003
357	38235
358	38377
359	38471
360	38329
361	38142
362	37796
363	37599
364	37310
365	37206
366	37172
367	37340
368	37891
369	38570
370	39189
371	39521
372	39518
373	39316
374	38962
375	38502
376	37802
377	37226
378	36137
379	34948
380	33116
381	31238
382	29510
383	28742
384	27790
385	28057
386	28132
387	27874
388	27401
389	27013
390	26962
391	26504
392	26013
393	25823
394	26026
395	27174
396	28683
397	31245
398	33384
399	35368
400	36361
401	37403
402	37982
403	38604
404	38962
405	39186
406	39329
407	39422
408	39285
409	39092
410	38746
411	38554
412	38265
413	38161
414	38133
415	38299
416	38854
417	39522
418	40114
419	40441
420	40441
421	40245
422	39906
423	39470
424	38776
425	38194
426	37093
427	35901
428	34058
429	32175
430	30447
431	28736
432	27786
433	28051
434	28122
435	27864
436	27386
437	26995
438	26947
439	26492
440	25995
441	25808
442	26015
443	27164
444	28672
445	31241
446	33384
447	35379
448	36376
449	37414
450	37991
451	38612
452	38970
453	39203
454	39344
455	39438
456	39297
457	39110
458	38764
459	38566
460	38277
461	38173
462	38139
463	38307
464	38858
465	39537
466	40157
467	40488
468	40485
469	40284
470	39930
471	39470
472	38770
473	38194
474	37105
475	35916
476	34083
477	32206
478	30477
479	28152
480	27200
481	27467
482	27543
483	27284
484	26811
485	26424
486	26372
487	25915
488	25423
489	25233
490	25437
491	26584
492	28093
493	30655
494	32794
495	34778
496	35772
497	36813
498	37392
499	38015
500	38373
501	38597
502	38740
503	38833
504	38695
505	38502
506	38156
507	37965
508	37676
509	37571
510	37543
511	37709
512	38265
513	38933
514	39525
515	39851
516	39851
517	39656
518	39316
519	38881
520	38186
521	37604
522	36503
523	35311
524	33468
525	31585
526	29857
527	28147
528	27196
529	27461
530	27533
531	27274
532	26796
533	26406
534	26357
535	25902
536	25406
537	25219
538	25425
539	26575
540	28082
541	30651
542	32794
543	34790
544	35787
545	36825
546	37402
547	38022
548	38381
549	38613
550	38755
551	38849
552	38707
553	38520
554	38174
555	37977
556	37688
557	37584
558	37550
559	37718
560	38269
561	38948
562	39567
563	39899
564	39896
565	39694
566	39340
567	38880
568	38180
569	37604
570	36515
571	35326
572	33494
573	31616
574	29888
575	26542
576	25591
577	25857
578	25933
579	25674
580	25201
581	24814
582	24763
583	24305
584	23814
585	23623
586	23827
587	24975
588	26483
589	29046
590	31185
591	33169
592	34162
593	35203
594	35783
595	36405
596	36763
597	36987
598	37130
599	37223
600	37085
601	36892
602	36547
603	36355
604	36066
605	35962
606	35934
607	36099
608	36655
609	37323
610	37915
611	38242
612	38242
613	38046
614	37707
615	37271
616	36577
617	35995
618	34893
619	33701
620	31859
621	29975
622	28248
623	26537
624	25587
625	25852
626	25923
627	25664
628	25187
629	24796
630	24748
631	24293
632	23796
633	23609
634	23816
635	24965
636	26472
637	29041
638	31185
639	33180
640	34177
641	35215
642	35792
643	36413
644	36771
645	37003
646	37145
647	37239
648	37098
649	36911
650	36565
651	36367
652	36078
653	35974
654	35940
655	36108
656	36659
657	37338
