0 Model Error:3896.43997284128%[0,2500000] 283 Trend 406
1 	Model Error:2187.73272915828%[0,6143] 101 Trend 1
2 		Model Error:2187.73272915828%[0,6143] 101 Trend 32
3 			Model Error:582.515144628465%[0,191] 101 Explicit 0
3 			Model Error:1051.97853325056%[192,383] 101 Explicit 0
3 			Model Error:272.0445217753%[384,575] 101 Trend 0
3 			Model Error:379.718015727114%[576,767] 101 Explicit 0
3 			Model Error:203.793689571525%[768,959] 101 Implicit 0
3 			Model Error:585.552348535355%[960,1151] 101 Trend 0
3 			Model Error:486.886771605932%[1152,1343] 101 Trend 0
3 			Model Error:577.483376140241%[1344,1535] 101 Implicit 0
3 			Model Error:685.722487738611%[1536,1727] 101 Trend 0
3 			Model Error:564.534515729858%[1728,1919] 101 Explicit 0
3 			Model Error:604.788055690406%[1920,2111] 101 Trend 0
3 			Model Error:503.683066987694%[2112,2303] 101 Explicit 0
3 			Model Error:447.129901488384%[2304,2495] 101 Trend 0
3 			Model Error:498.985722855941%[2496,2687] 101 Trend 0
3 			Model Error:160.566250570912%[2688,2879] 101 Trend 0
3 			Model Error:649.430538741435%[2880,3071] 101 Implicit 0
3 			Model Error:537.078255097214%[3072,3263] 101 Explicit 0
3 			Model Error:478.679820232534%[3264,3455] 101 Trend 0
3 			Model Error:518.985905733498%[3456,3647] 101 Explicit 0
3 			Model Error:465.07429492104%[3648,3839] 101 Explicit 0
3 			Model Error:595.883925107919%[3840,4031] 101 Explicit 0
3 			Model Error:385.491747300803%[4032,4223] 101 Explicit 0
3 			Model Error:679.734750911728%[4224,4415] 101 Implicit 0
3 			Model Error:128.171569419836%[4416,4607] 101 Explicit 0
3 			Model Error:695.898675601755%[4608,4799] 101 Explicit 0
3 			Model Error:330.417662725376%[4800,4991] 101 Explicit 0
3 			Model Error:615.165490289157%[4992,5183] 101 Trend 0
3 			Model Error:581.308398606299%[5184,5375] 101 Trend 0
3 			Model Error:312.238286798696%[5376,5567] 101 Explicit 0
3 			Model Error:690.422250506701%[5568,5759] 101 Explicit 0
3 			Model Error:167.927492841249%[5760,5951] 101 Trend 0
3 			Model Error:722.678019369301%[5952,6143] 101 Explicit 0
