0 Model Error:2917.79358061739[0,162143] 297 Explicit 7 
1 	Model Error:2733.97103539557[0,24575] 289 Trend 16 
2 		Model Error:992.045288358262[0,1535] 121 Explicit 0 
2 		Model Error:840.476016070366[1536,3071] 121 Explicit 0 
2 		Model Error:566.677403830916[3072,4607] 121 Explicit 0 
2 		Model Error:625.874968310418[4608,6143] 121 Explicit 0 
2 		Model Error:752.1411819403[6144,7679] 121 Explicit 0 
2 		Model Error:776.066184076764[7680,9215] 121 Explicit 0 
2 		Model Error:2047.34506744758[9216,10751] 107 Implicit 0 
2 		Model Error:631.438421186125[10752,12287] 121 Explicit 0 
2 		Model Error:2026.8294213836[12288,13823] 121 Explicit 0 
2 		Model Error:745.140747512734[13824,15359] 121 Explicit 0 
2 		Model Error:790.303830383644[15360,16895] 121 Explicit 0 
2 		Model Error:1788.38101025437[16896,18431] 121 Explicit 0 
2 		Model Error:838.05878593924[18432,19967] 121 Explicit 0 
2 		Model Error:729.277327966487[19968,21503] 121 Explicit 0 
2 		Model Error:559.795444979391[21504,23039] 121 Explicit 0 
2 		Model Error:649.106857795268[23040,24575] 121 Explicit 0 
1 	Model Error:2840.53127154397[24576,49151] 289 Trend 16 
2 		Model Error:874.286964554274[24576,26111] 121 Explicit 0 
2 		Model Error:797.432139808363[26112,27647] 121 Explicit 0 
2 		Model Error:725.290871599063[27648,29183] 121 Explicit 0 
2 		Model Error:1801.2975916096[29184,30719] 121 Explicit 0 
2 		Model Error:1211.45961447479[30720,32255] 121 Explicit 0 
2 		Model Error:785.709786866253[32256,33791] 121 Explicit 0 
2 		Model Error:1741.48537921104[33792,35327] 107 Trend 0 
2 		Model Error:1005.56271706302[35328,36863] 121 Explicit 0 
2 		Model Error:776.139300256153[36864,38399] 121 Explicit 0 
2 		Model Error:574.0813103404[38400,39935] 121 Explicit 0 
2 		Model Error:623.103687528775[39936,41471] 121 Explicit 0 
2 		Model Error:809.644461260054[41472,43007] 121 Explicit 0 
2 		Model Error:767.025792282562[43008,44543] 121 Explicit 0 
2 		Model Error:1907.29496192397[44544,46079] 107 Trend 0 
2 		Model Error:607.913652300187[46080,47615] 121 Explicit 0 
2 		Model Error:2029.20517718011[47616,49151] 121 Explicit 0 
1 	Model Error:2725.17388566531[49152,73727] 289 Trend 16 
2 		Model Error:836.864478338124[49152,50687] 121 Explicit 0 
2 		Model Error:866.569241814192[50688,52223] 121 Explicit 0 
2 		Model Error:1333.21304271853[52224,53759] 121 Explicit 0 
2 		Model Error:802.618111102573[53760,55295] 121 Explicit 0 
2 		Model Error:658.128821810802[55296,56831] 121 Explicit 0 
2 		Model Error:592.280897819262[56832,58367] 121 Explicit 0 
2 		Model Error:662.515411367582[58368,59903] 121 Explicit 0 
2 		Model Error:771.106944194427[59904,61439] 121 Explicit 0 
2 		Model Error:1609.73905400103[61440,62975] 107 Implicit 0 
2 		Model Error:688.448158800762[62976,64511] 121 Explicit 0 
2 		Model Error:2151.4623264125[64512,66047] 121 Explicit 0 
2 		Model Error:713.176298327213[66048,67583] 121 Explicit 0 
2 		Model Error:759.4326757237[67584,69119] 121 Explicit 0 
2 		Model Error:2051.59938823141[69120,70655] 107 Implicit 0 
2 		Model Error:957.0516409552[70656,72191] 121 Explicit 0 
2 		Model Error:773.895581338751[72192,73727] 121 Explicit 0 
1 	Model Error:2680.39500382081[73728,98303] 289 Trend 16 
2 		Model Error:568.867874677751[73728,75263] 121 Explicit 0 
2 		Model Error:633.151491291697[75264,76799] 121 Explicit 0 
2 		Model Error:873.210693661531[76800,78335] 121 Explicit 0 
2 		Model Error:714.726111737415[78336,79871] 121 Explicit 0 
2 		Model Error:1590.31167439833[79872,81407] 107 Trend 0 
2 		Model Error:836.079735388317[81408,82943] 121 Explicit 0 
2 		Model Error:2030.47048973088[82944,84479] 121 Explicit 0 
2 		Model Error:818.443991844346[84480,86015] 121 Explicit 0 
2 		Model Error:1027.09115524549[86016,87551] 121 Explicit 0 
2 		Model Error:943.996511860962[87552,89087] 121 Explicit 0 
2 		Model Error:840.626167651259[89088,90623] 121 Explicit 0 
2 		Model Error:516.425125786234[90624,92159] 121 Explicit 0 
2 		Model Error:626.929964405586[92160,93695] 121 Explicit 0 
2 		Model Error:774.249647703618[93696,95231] 121 Explicit 0 
2 		Model Error:755.518511701437[95232,96767] 121 Explicit 0 
2 		Model Error:2124.5383043593[96768,98303] 107 Implicit 0 
1 	Model Error:2877.59858827017[98304,122879] 289 Trend 16 
2 		Model Error:695.585920120408[98304,99839] 121 Explicit 0 
2 		Model Error:2073.0484362987[99840,101375] 121 Explicit 0 
2 		Model Error:724.26287859818[101376,102911] 121 Explicit 0 
2 		Model Error:759.892163401521[102912,104447] 121 Explicit 0 
2 		Model Error:2037.14901289506[104448,105983] 107 Implicit 0 
2 		Model Error:868.093952624469[105984,107519] 121 Explicit 0 
2 		Model Error:752.822284304333[107520,109055] 121 Explicit 0 
2 		Model Error:580.936608803655[109056,110591] 121 Explicit 0 
2 		Model Error:607.640015084966[110592,112127] 121 Explicit 0 
2 		Model Error:887.864637737672[112128,113663] 121 Explicit 0 
2 		Model Error:743.651216303319[113664,115199] 121 Explicit 0 
2 		Model Error:748.697515771943[115200,116735] 121 Explicit 0 
2 		Model Error:1741.9089455513[116736,118271] 121 Explicit 0 
2 		Model Error:1339.4941137342[118272,119807] 121 Explicit 0 
2 		Model Error:807.231777673849[119808,121343] 121 Explicit 0 
2 		Model Error:1683.91892655924[121344,122879] 107 Implicit 0 
1 	Model Error:2719.09547126118[122880,147455] 289 Trend 16 
2 		Model Error:938.784682060112[122880,124415] 121 Explicit 0 
2 		Model Error:743.624498245183[124416,125951] 121 Explicit 0 
2 		Model Error:509.0718002168[125952,127487] 121 Explicit 0 
2 		Model Error:626.936640901316[127488,129023] 121 Explicit 0 
2 		Model Error:838.121368631782[129024,130559] 121 Explicit 0 
2 		Model Error:715.293713279127[130560,132095] 121 Explicit 0 
2 		Model Error:1945.96908565582[132096,133631] 107 Trend 0 
2 		Model Error:695.218148057415[133632,135167] 121 Explicit 0 
2 		Model Error:2034.71372364373[135168,136703] 121 Explicit 0 
2 		Model Error:786.50451308021[136704,138239] 121 Explicit 0 
2 		Model Error:831.142735018904[138240,139775] 121 Explicit 0 
2 		Model Error:1558.75597514067[139776,141311] 121 Explicit 0 
2 		Model Error:846.702888702086[141312,142847] 121 Explicit 0 
2 		Model Error:668.802904508288[142848,144383] 121 Explicit 0 
2 		Model Error:606.067457463025[144384,145919] 121 Explicit 0 
2 		Model Error:642.852114379493[145920,147455] 121 Explicit 0 
1 	Model Error:5696.9318212022[147456,162143] 107 Implicit 10 
2 		Model Error:782.131221417483[147456,148991] 121 Explicit 0 
2 		Model Error:1289.69327702418[148992,150527] 121 Explicit 0 
2 		Model Error:647.373437681468[150528,152063] 121 Explicit 0 
2 		Model Error:2101.19609220558[152064,153599] 121 Explicit 0 
2 		Model Error:780.378788440285[153600,155135] 121 Explicit 0 
2 		Model Error:741.815887551522[155136,156671] 121 Explicit 0 
2 		Model Error:2034.84442818489[156672,158207] 107 Trend 0 
2 		Model Error:922.469902846722[158208,159743] 121 Explicit 0 
2 		Model Error:743.357212969157[159744,161279] 121 Explicit 0 
2 		Model Error:512.080000391441[161280,162143] 114 Explicit 0 
