0 Model Error:2917.79358061739[0,162143] 297 Explicit 185 
1 	Model Error:930.768222901053[0,1055] 116 Explicit 8 
2 		Model Error:2.18278728425503E-11[0,95] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[96,191] 106 Explicit 0 
2 		Model Error:3.27418092638254E-11[192,287] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[288,383] 107 Trend 0 
2 		Model Error:248.978388762422[384,575] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[384,479] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[480,575] 107 Trend 0 
2 		Model Error:344.999399679298[576,767] 107 Explicit 2 
3 			Model Error:7.27595761418343E-12[576,671] 107 Trend 0 
3 			Model Error:3.63797880709171E-11[672,767] 106 Explicit 0 
2 		Model Error:184.715111703787[768,959] 107 Implicit 2 
3 			Model Error:1.45519152283669E-11[768,863] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[864,959] 106 Explicit 0 
2 		Model Error:1.81898940354586E-11[960,1055] 107 Trend 0 
1 	Model Error:741.990757129926[1056,1919] 114 Explicit 8 
2 		Model Error:4.36557456851006E-11[1056,1151] 107 Trend 0 
2 		Model Error:441.798689431293[1152,1343] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[1152,1247] 107 Trend 0 
3 			Model Error:4.36557456851006E-11[1248,1343] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[1344,1439] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[1440,1535] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[1536,1631] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[1632,1727] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[1728,1823] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[1824,1919] 106 Explicit 0 
1 	Model Error:782.581256270736[1920,4607] 133 Explicit 16 
2 		Model Error:1.45519152283669E-11[1920,2015] 106 Explicit 0 
2 		Model Error:4.36557456851006E-11[2016,2111] 106 Explicit 0 
2 		Model Error:458.710085045233[2112,2303] 107 Explicit 2 
3 			Model Error:1.81898940354586E-11[2112,2207] 107 Trend 0 
3 			Model Error:3.63797880709171E-11[2208,2303] 107 Trend 0 
2 		Model Error:407.6959144016[2304,2495] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[2304,2399] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[2400,2495] 107 Trend 0 
2 		Model Error:453.317609687576[2496,2687] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[2496,2591] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[2592,2687] 107 Trend 0 
2 		Model Error:148.609986268406[2688,2879] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[2688,2783] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[2784,2879] 106 Explicit 0 
2 		Model Error:2.5465851649642E-11[2880,2975] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[2976,3071] 106 Explicit 0 
2 		Model Error:479.284272900972[3072,3455] 109 Explicit 4 
3 			Model Error:1.45519152283669E-11[3072,3167] 107 Trend 0 
3 			Model Error:1.81898940354586E-11[3168,3263] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[3264,3359] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[3360,3455] 106 Explicit 0 
2 		Model Error:442.426282994242[3456,3839] 109 Explicit 4 
3 			Model Error:2.18278728425503E-11[3456,3551] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[3552,3647] 107 Trend 0 
3 			Model Error:1.81898940354586E-11[3648,3743] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[3744,3839] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[3840,3935] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[3936,4031] 107 Trend 0 
2 		Model Error:352.349702624364[4032,4223] 107 Explicit 2 
3 			Model Error:3.63797880709171E-11[4032,4127] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[4128,4223] 107 Trend 0 
2 		Model Error:2.5465851649642E-11[4224,4319] 106 Explicit 0 
2 		Model Error:1.09139364212751E-11[4320,4415] 107 Trend 0 
2 		Model Error:115.608792654974[4416,4607] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[4416,4511] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[4512,4607] 107 Trend 0 
1 	Model Error:653.372504063333[4608,6719] 127 Explicit 16 
2 		Model Error:2.18278728425503E-11[4608,4703] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[4704,4799] 107 Trend 0 
2 		Model Error:299.963245444509[4800,4991] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[4800,4895] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[4896,4991] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[4992,5087] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[5088,5183] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[5184,5279] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[5280,5375] 107 Trend 0 
2 		Model Error:286.203957734273[5376,5567] 107 Explicit 2 
3 			Model Error:2.91038304567337E-11[5376,5471] 107 Trend 0 
3 			Model Error:2.5465851649642E-11[5472,5567] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[5568,5663] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[5664,5759] 107 Trend 0 
2 		Model Error:152.667692117298[5760,5951] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[5760,5855] 106 Explicit 0 
3 			Model Error:1.45519152283669E-11[5856,5951] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[5952,6047] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[6048,6143] 107 Trend 0 
2 		Model Error:269.511000187864[6144,6335] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[6144,6239] 107 Trend 0 
3 			Model Error:7.27595761418343E-12[6240,6335] 107 Trend 0 
2 		Model Error:495.532839360218[6336,6527] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[6336,6431] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[6432,6527] 106 Explicit 0 
2 		Model Error:434.588342141433[6528,6719] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[6528,6623] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[6624,6719] 106 Explicit 0 
1 	Model Error:955.491713486124[6720,8831] 127 Explicit 16 
2 		Model Error:310.930793118889[6720,6911] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[6720,6815] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[6816,6911] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[6912,7007] 106 Explicit 0 
2 		Model Error:1.81898940354586E-11[7008,7103] 107 Trend 0 
2 		Model Error:392.890243924332[7104,7295] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[7104,7199] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[7200,7295] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[7296,7391] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[7392,7487] 107 Trend 0 
2 		Model Error:274.481544869188[7488,7679] 107 Explicit 2 
3 			Model Error:7.27595761418343E-12[7488,7583] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[7584,7679] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[7680,7775] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[7776,7871] 107 Trend 0 
2 		Model Error:467.930257500688[7872,8063] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[7872,7967] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[7968,8063] 107 Trend 0 
2 		Model Error:425.483107379958[8064,8255] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[8064,8159] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[8160,8255] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[8256,8351] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[8352,8447] 107 Trend 0 
