0 Model Error:100[0,1000000] 302 Explicit 10
1 	Model Error:10[0,10000] 212 Explicit 10
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
1 	Model Error:10[0,10000] 212 Explicit 10
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
1 	Model Error:10[0,10000] 212 Explicit 10
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
1 	Model Error:10[0,10000] 212 Explicit 10
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
1 	Model Error:10[0,10000] 212 Explicit 10
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
1 	Model Error:10[0,10000] 212 Explicit 10
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
1 	Model Error:10[0,10000] 212 Explicit 10
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
1 	Model Error:10[0,10000] 212 Explicit 10
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
1 	Model Error:10[0,10000] 212 Explicit 10
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
1 	Model Error:10[0,10000] 212 Explicit 10
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
2 		Model Error:10[0,1000] 4 Explicit 0
