0 Model Error:0.111767037840536[0,99999] 1102 Explicit 1
1 	Model Error:0.111767037840536[0,99999] 1102 Explicit 1
2 		Model Error:0.111767037840536[0,99999] 1102 Explicit 1
3 			Model Error:0.111767037840536[0,99999] 1102 Explicit 1
4 				Model Error:0.111767037840536[0,99999] 1102 Explicit 1000
5 					Model Error:1.47792889038101E-12[0,99] 103 Explicit 0
5 					Model Error:1.98951966012828E-13[100,199] 103 Explicit 0
5 					Model Error:1.98951966012828E-13[200,299] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[300,399] 103 Explicit 0
5 					Model Error:1.47792889038101E-12[400,499] 103 Explicit 0
5 					Model Error:7.38964445190504E-13[500,599] 103 Explicit 0
5 					Model Error:2.70006239588838E-13[600,699] 103 Explicit 0
5 					Model Error:1.81898940354586E-12[700,799] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[800,899] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[900,999] 103 Explicit 0
5 					Model Error:8.5265128291212E-13[1000,1099] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[1100,1199] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[1200,1299] 103 Explicit 0
5 					Model Error:4.54747350886464E-13[1300,1399] 103 Explicit 0
5 					Model Error:1.70530256582424E-12[1400,1499] 103 Explicit 0
5 					Model Error:2.27373675443232E-13[1500,1599] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[1600,1699] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[1700,1799] 103 Explicit 0
5 					Model Error:2.27373675443232E-13[1800,1899] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[1900,1999] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[2000,2099] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[2100,2199] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[2200,2299] 103 Explicit 0
5 					Model Error:1.59161572810262E-12[2300,2399] 103 Explicit 0
5 					Model Error:3.97903932025656E-13[2400,2499] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[2500,2599] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[2600,2699] 103 Explicit 0
5 					Model Error:3.97903932025656E-13[2700,2799] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[2800,2899] 103 Explicit 0
5 					Model Error:1.70530256582424E-13[2900,2999] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[3000,3099] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[3100,3199] 103 Explicit 0
5 					Model Error:1.59161572810262E-12[3200,3299] 103 Explicit 0
5 					Model Error:6.25277607468888E-13[3300,3399] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[3400,3499] 103 Explicit 0
5 					Model Error:1.59161572810262E-12[3500,3599] 103 Explicit 0
5 					Model Error:1.56319401867222E-13[3600,3699] 103 Explicit 0
5 					Model Error:5.11590769747272E-13[3700,3799] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[3800,3899] 103 Explicit 0
5 					Model Error:5.11590769747272E-13[3900,3999] 103 Explicit 0
5 					Model Error:6.25277607468888E-13[4000,4099] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[4100,4199] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[4200,4299] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[4300,4399] 103 Explicit 0
5 					Model Error:1.59161572810262E-12[4400,4499] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[4500,4599] 103 Explicit 0
5 					Model Error:7.95807864051312E-13[4600,4699] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[4700,4799] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[4800,4899] 103 Explicit 0
5 					Model Error:1.70530256582424E-12[4900,4999] 103 Explicit 0
5 					Model Error:7.95807864051312E-13[5000,5099] 103 Explicit 0
5 					Model Error:7.95807864051312E-13[5100,5199] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[5200,5299] 103 Explicit 0
