a	s
0	3349144
1	3360993
2	3297727
3	3250175
4	3352124
5	3289621
6	3119412
7	3141582
8	3181917
9	3183586
10	3147699
11	3225961
12	3182621
13	3084371
14	3171592
15	3163500
16	2999129
17	2934491
18	3029603
19	3090967
20	2995449
21	3072689
22	3096801
23	3021533
24	2977314
25	3062335
26	2999214
27	2859196
28	2850673
29	2864995
30	2763473
31	2763388
32	2885854
33	2907814
34	2848536
35	2923499
36	2956197
37	2876683
38	2872807
39	2936725
40	2889736
41	2807557
42	2908330
43	2933601
44	2839734
45	2860099
46	2960726
47	2955701
48	2853383
49	2895773
50	2919503
51	2885808
52	2831475
53	2932192
54	2933586
55	2820949
56	2862591
57	2867238
58	2826748
59	2760403
60	2832951
61	2794134
62	2711838
63	2785524
64	2847531
65	2824579
66	2786748
67	2892379
68	2898962
69	2810145
70	2888951
71	2915754
72	2885767
73	2741754
74	2797031
75	2835005
76	2791668
77	2889341
78	2960961
79	2961607
80	2885968
81	2999791
82	3000770
83	2912134
84	2974066
85	3059549
86	3001571
87	2954023
88	3057673
89	3089376
90	3008010
91	3080452
92	3122399
93	3113343
94	3093454
95	3195367
96	3207986
97	3132632
98	3212075
99	3276225
100	3269623
101	3260852
102	3353364
103	3370805
104	3254622
105	3311727
106	3379112
107	3379781
108	3369133
109	3472765
110	3524755
111	3458930
112	3536918
113	3601176
114	3584951
115	3530034
116	3685669
117	3689850
118	3625309
119	3699930
120	3754288
121	3720480
122	3688981
123	3815705
124	3818070
125	3733844
126	3865475
127	3935750
128	3922125
129	3858228
130	3971012
131	3976623
132	3855613
133	3637003
134	3163611
135	3071064
136	3316208
137	3314261
138	3427569
139	3719047
140	3904942
141	3986765
142	3932316
143	3843581
144	3877188
145	3886511
146	3750921
147	3745334
148	3841771
149	3853969
150	3816066
151	3907604
152	3895232
153	3787859
154	3853058
155	3874208
156	3819991
157	3763640
158	3831762
159	3830320
160	3730540
161	3774629
162	3819698
163	3784393
164	3719586
165	3789065
166	3762681
167	3682299
168	3727276
169	3754162
170	3696477
171	3571720
172	3683193
173	3703681
174	3549436
175	3531953
176	3555935
177	3516730
178	3399110
179	3438639
180	3412207
181	3236853
182	3308019
183	3362921
184	3326074
185	3194809
186	3335053
187	3306225
188	3141925
189	3106163
190	3181669
191	3156944
192	3120759
193	3179931
194	3205263
195	3102679
196	3095776
197	3183064
198	3068071
199	2917284
200	2970381
201	3067089
202	3020586
203	3001675
204	3089461
205	3065630
206	2959073
207	3017679
208	3038647
209	2921218
210	2827164
211	2846781
212	2827753
213	2722616
214	2809544
215	2915388
216	2859592
217	2867662
218	2948341
219	2925430
220	2841826
221	2914755
222	2925056
223	2820446
224	2842076
225	2940745
226	2895588
227	2815948
228	2924817
229	2957452
230	2924749
231	2840953
232	2922602
233	2917146
234	2834603
235	2899461
236	2935840
237	2893162
238	2814508
239	2887519
240	2867324
241	2770616
242	2818425
243	2816491
244	2771260
245	2721590
246	2848057
247	2855711
248	2789085
249	2857969
250	2914630
251	2869146
252	2835719
253	2928965
254	2927177
255	2802633
256	2771556
257	2852345
258	2816959
259	2832558
260	2964780
261	2990443
262	2911947
263	2970334
264	3023653
265	2985209
266	2928821
267	3049659
268	3067259
269	2967913
270	3035113
271	3098602
272	3079103
273	3037555
274	3143409
275	3151969
276	3089503
277	3186766
278	3224958
279	3199923
280	3168656
281	3284003
282	3308543
283	3271040
284	3343621
285	3396871
286	3357070
287	3268661
288	3389138
289	3415775
290	3388615
291	3451230
292	3527509
293	3541591
294	3500535
295	3611542
296	3648723
297	3556204
298	3647928
299	3728159
300	3703635
301	3664915
302	3778125
303	3778715
304	3717425
305	3797143
306	3858787
307	3816306
308	3800768
309	3960162
310	3983753
311	3903916
312	3949867
313	4031694
314	3975875
315	3804439
316	3449920
317	3068211
318	3244487
319	3408421
320	3334903
321	3640238
322	3843833
323	4009696
324	4026340
325	3910169
326	3901753
327	3933534
328	3879111
329	3754227
330	3831679
331	3913012
332	3865449
333	3909095
334	3949410
335	3903130
336	3823599
337	3928176
338	3907656
339	3799526
340	3870236
341	3867212
342	3846049
343	3767088
344	3845916
345	3877261
346	3760661
347	3818204
348	3817316
349	3778828
350	3730230
351	3800373
352	3784561
353	3653985
354	3674835
355	3758634
356	3701358
357	3533239
358	3604985
359	3598843
360	3477117
361	3510540
362	3443676
363	3356477
364	3346457
365	3372816
366	3385797
367	3322993
368	3275884
369	3378284
370	3316240
371	3146484
372	3169103
373	3209895
374	3212017
375	3176579
376	3255290
377	3212410
378	3114607
379	3202277
380	3194638
381	3030708
382	2966532
383	3062098
384	3123927
385	3028872
386	3106579
387	3131154
388	3056353
389	3012597
390	3098084
391	3035425
392	2895862
393	2887796
394	2902555
395	2801480
396	2801845
397	2924757
398	2947172
399	2888336
400	2963736
401	2996878
402	2917812
403	2914385
