a	 b
1	27668
2	26936
3	28284
4	29401
5	29475
6	29281
7	28792
8	28425
9	27731
10	27304
11	27228
12	27611
13	29335
14	30930
15	33452
16	35243
17	36211
18	36388
19	37260
20	37777
21	38075
22	38308
23	38531
24	38608
25	38630
26	38237
27	37775
28	37359
29	37253
30	36903
31	36526
32	37092
33	37359
34	37815
35	38143
36	37997
37	37724
38	37690
39	37869
40	38985
41	40079
42	39245
43	38175
44	36434
45	34800
46	32970
47	30897
48	29067
49	27479
50	26828
51	28294
52	29509
53	29578
54	29440
55	28986
56	28536
57	27945
58	27601
59	27664
60	28232
61	30416
62	32344
63	35343
64	37439
65	38555
66	38750
67	39546
68	39873
69	40021
70	40114
71	40187
72	40172
73	40187
74	39801
75	39368
76	39049
77	38983
78	38600
79	38295
80	38403
81	38619
82	39024
83	39183
84	38794
85	38335
86	38111
87	38252
88	39272
89	40520
90	39833
91	38670
92	36881
93	35235
94	33295
95	31172
96	29307
97	27643
98	26972
99	28428
100	29474
101	29633
102	29517
103	29007
104	28662
105	28059
106	27726
107	27819
108	28445
109	30550
110	32452
111	35410
112	37379
113	38446
114	38515
115	39186
116	39390
117	39502
118	39581
119	39653
120	39639
121	39602
122	39227
123	38853
124	38525
125	38423
126	38038
127	37705
128	37776
129	38007
130	38345
131	38545
132	38142
133	37675
134	37489
135	37594
136	38701
137	40194
138	39496
139	38405
140	36627
141	35010
142	33087
143	31046
144	29180
145	27583
146	26904
147	28250
148	29398
149	29384
150	29182
151	28642
152	28293
153	27713
154	27390
155	27489
156	28017
157	30011
158	31787
159	34612
160	36607
161	37774
162	38017
163	38840
164	39161
165	39379
166	39498
167	39595
168	39647
169	39662
170	39235
171	38836
172	38481
173	38417
174	38002
175	37682
176	37733
177	37860
178	38291
179	38529
180	38170
181	37771
182	37643
183	37694
184	38598
185	39895
186	39432
187	38253
188	36489
189	34952
190	33054
191	31006
192	29241
193	27666
194	26990
195	28301
196	29408
197	29445
198	29246
199	28776
200	28429
201	27851
202	27496
203	27610
204	28196
205	30064
206	31781
207	34565
208	36532
209	37773
210	38107
211	38933
212	39203
213	39381
214	39517
215	39621
216	39650
217	39638
218	39230
219	38771
220	38399
221	38291
222	37905
223	37577
224	37530
225	37677
226	38099
227	38295
228	37961
229	37563
230	37377
231	37254
232	37911
233	39513
234	39041
235	38025
236	36341
237	34779
238	32964
239	30991
240	29239
241	27632
242	26980
243	28282
244	29389
245	29378
246	29181
247	28673
248	28323
249	27747
250	27369
251	27349
252	27808
253	29408
254	30864
255	33352
256	35093
257	36356
258	36811
259	37715
260	38090
261	38300
262	38398
263	38509
264	38506
265	38488
266	38073
267	37612
268	37122
269	36962
270	36522
271	36208
272	36141
273	36209
274	36545
275	36806
276	36544
277	36133
278	35888
279	35942
280	36762
281	38399
282	38057
283	37093
284	35572
285	34122
286	32389
287	30531
288	28818
289	27261
290	26582
291	27899
292	28980
293	28952
294	28801
295	28346
296	27965
297	27352
298	26999
299	26950
300	27251
301	28506
302	29725
303	31906
304	33453
305	34647
306	35180
307	36181
308	36699
309	37071
310	37263
311	37328
312	37390
313	37400
314	37032
315	36576
316	36070
317	35958
318	35609
319	35342
320	35318
321	35425
322	35942
323	36358
324	36236
325	35975
326	35814
327	35840
328	36558
329	38278
330	37982
331	37094
332	35483
333	34074
334	32362
335	30435
336	28695
337	27159
338	26542
339	27912
340	29062
341	29087
342	29011
343	28559
344	28250
345	27732
346	27384
347	27431
348	27955
349	29593
350	31207
351	33817
352	35642
353	36912
354	37379
355	38232
356	38621
357	38847
358	39010
359	39110
360	39198
361	39216
362	38828
363	38441
364	38039
365	37930
366	37605
367	37381
368	37412
369	37575
370	37999
371	38271
372	38010
373	37618
374	37425
375	37443
376	38111
377	39572
378	39302
379	38269
380	36545
381	34993
382	33086
383	31017
384	29195
385	27671
386	26986
387	28343
388	29523
389	29647
390	29554
391	29086
392	28809
393	28215
394	27901
395	28030
396	28625
397	30415
398	32290
399	35208
400	37161
401	38528
402	39015
403	39765
404	39994
405	40103
406	40159
407	40133
408	40130
409	40217
410	39772
411	39452
412	39040
413	38955
414	38606
415	38318
416	38299
417	38360
418	38733
419	38876
420	38474
421	37913
422	37573
423	37473
424	37906
425	39472
426	39436
427	38493
428	36770
429	35189
430	33358
431	31323
432	29512
433	27920
434	27205
435	28525
436	29664
437	29736
438	29683
439	29211
440	28941
441	28325
442	27970
443	27964
444	28445
445	29798
446	31320
447	33833
448	35551
449	36746
450	37133
451	37943
452	38323
453	38545
454	38610
455	38664
456	38670
457	38675
458	38339
459	37990
460	37585
461	37532
462	37145
463	36954
464	37056
465	37202
466	37628
467	37965
468	37708
469	37317
470	37083
471	36976
472	37402
473	39049
474	38963
475	37965
476	36361
477	34838
478	32916
479	30973
480	29180
481	27673
482	26945
483	28315
484	29450
485	29546
486	29426
487	28972
488	28675
489	28130
490	27799
491	27927
492	28490
493	30138
494	31972
495	34793
496	36686
497	37938
498	38318
499	39121
500	39391
501	39478
502	39525
503	39526
504	39554
505	39547
506	39147
507	38752
508	38370
509	38237
510	37880
511	37638
512	37631
513	37711
514	38099
515	38285
516	37822
517	37350
518	37023
519	36813
520	37085
521	38691
522	38765
523	37810
524	36164
525	34679
526	32792
527	30784
528	28948
529	27382
530	26688
531	27997
532	29105
533	29125
534	28941
535	28417
536	28112
537	27579
538	27214
539	27260
540	27720
541	29083
542	30735
543	33348
544	35145
545	36408
546	36884
547	37682
548	37989
549	38112
550	38151
551	38178
552	38181
553	38160
554	37771
555	37365
556	36945
557	36825
558	36522
559	36251
560	36227
561	36341
562	36776
563	37094
564	36839
565	36505
566	36243
567	36065
568	36231
569	37555
570	37614
571	36827
572	35270
573	33897
574	32134
575	30177
576	28531
577	27004
578	26281
579	27510
580	28554
581	28525
582	28327
583	27820
584	27471
585	26910
586	26514
587	26524
588	26792
589	27674
590	28961
591	31071
592	32594
593	33792
594	34337
595	35306
596	35754
597	36117
598	36235
599	36276
600	36289
601	36298
602	35895
603	35402
604	34982
605	34799
606	34477
607	34192
608	34204
609	34384
610	34879
611	35263
612	35167
613	34902
614	34732
615	34654
616	35010
617	36455
618	36662
619	35954
620	34510
621	33131
622	31523
623	29649
624	27960
625	26440
626	25771
627	26984
628	27992
629	27984
630	27795
631	27251
632	26912
633	26381
634	26008
635	26130
636	26562
637	27825
638	29444
639	31898
640	33665
641	35011
642	35661
643	36653
644	37104
645	37388
646	37505
647	37578
648	37624
649	37649
650	37298
651	36920
652	36438
653	36327
654	35940
655	35701
656	35663
657	35788
658	36205
659	36469
660	36195
661	35744
662	35500
663	35274
664	35495
665	36831
666	37068
667	36395
668	34824
669	33443
670	31769
671	29859
672	28106
673	26595
674	25916
675	27032
676	27972
677	27912
678	27701
679	27167
680	26811
681	26271
682	25941
683	25962
684	26339
685	27405
686	28944
687	31290
688	32969
689	34196
690	34791
691	35718
692	36239
693	36540
694	36773
695	36849
696	36949
697	36973
698	36619
699	36210
700	35760
701	35590
702	35197
703	34931
704	34891
705	35052
706	35482
707	35759
708	35492
709	35047
710	34752
711	34534
712	34749
713	36105
714	36896
715	36275
716	34705
717	33309
718	31566
719	29550
720	27747
721	26275
722	25620
723	26728
724	27651
725	27610
726	27379
727	26869
728	26522
729	26072
730	25805
731	25966
732	26494
733	27828
734	29737
735	32467
736	34333
737	35642
738	36208
739	37076
740	37459
741	37671
742	37730
743	37842
744	37923
745	37984
746	37598
747	37275
748	36941
749	36875
750	36549
751	36298
752	36357
753	36600
754	37025
755	37276
756	36978
757	36507
758	36153
759	35839
760	35889
761	37102
762	37741
763	37032
764	35499
765	33922
766	31995
767	29974
768	28153
769	26591
770	25910
771	26986
772	27873
773	27729
774	27558
775	27043
776	26776
777	26326
778	26085
779	26314
780	26816
781	28233
782	30304
783	33152
784	35137
785	36515
786	37076
787	37917
788	38240
789	38364
790	38415
791	38453
792	38510
793	38559
794	38223
795	37836
796	37451
797	37397
798	37028
799	36790
800	36856
801	37004
802	37370
803	37595
804	37173
805	36682
806	36309
807	35954
808	35919
809	37184
810	37723
811	37023
812	35349
813	33887
814	32008
815	29965
816	28128
817	26556
818	25810
819	26890
820	27774
821	27676
822	27439
823	26976
824	26681
825	26211
826	25928
827	26059
828	26417
829	27631
830	29432
831	32024
832	33800
833	35078
834	35621
835	36462
836	36856
837	37131
838	37214
839	37331
840	37370
841	37367
842	37025
843	36629
844	36233
845	36080
846	35685
847	35438
848	35486
849	35776
850	36286
851	36604
852	36374
853	36003
854	35723
855	35434
856	35535
857	36671
858	37365
859	36710
860	35154
861	33736
862	31874
863	29780
864	27980
865	26471
866	25727
867	26800
868	27715
869	27681
870	27472
871	26989
872	26675
873	26190
874	25933
875	26132
876	26557
877	27976
878	30089
879	32989
880	34969
881	36220
882	36645
883	37570
884	37957
885	38180
886	38326
887	38470
888	38549
889	38571
890	38221
891	37784
892	37360
893	37226
894	36836
895	36546
896	36562
897	36791
898	37231
899	37469
900	37171
901	36711
902	36390
903	36021
904	35956
905	36816
906	37605
907	37100
908	35463
909	33969
910	32030
911	30006
912	28265
913	26646
914	25919
915	27026
916	27968
917	27963
918	27712
919	27206
920	26906
921	26406
922	26086
923	26182
924	26431
925	27683
926	29650
927	32414
928	34280
929	35485
930	35956
931	36870
932	37206
933	37480
934	37602
935	37718
936	37767
937	37789
938	37429
939	36991
940	36546
941	36367
942	36012
943	35747
944	35761
945	36005
946	36421
947	36627
948	36317
949	35876
950	35564
951	35295
952	35262
953	36145
954	36929
955	36515
956	34943
957	33544
958	31744
959	29746
960	28012
961	26513
962	25784
963	26847
964	27730
965	27663
966	27445
967	26985
968	26635
969	26133
970	25845
971	25903
972	26122
973	27263
974	29123
975	31701
976	33468
977	34583
978	34990
979	35969
980	36531
981	36862
982	37055
983	37196
984	37234
985	37196
986	36837
987	36430
988	36003
989	35850
990	35453
991	35164
992	35243
993	35511
994	35985
995	36301
996	36084
997	35705
998	35411
999	35195
1000	35148
